Genre,Proto-Elamite,Ur III,Old Babylonian
Administrative,103,936,46
Administrative > Receipt,0,25,4
Legal,0,8,58
Legal > Business / Contracts,0,0,16
Letter,0,14,11
Lexical,0,0,23
Literary,0,0,395
Literary > Literary letter and letter-prayer,0,0,13
Literary > Ritual and liturgical > Incantation,0,1,1
Literary > Ritual and liturgical > Prayer,0,0,5
Literary > Wisdom or proverb,0,0,133
Official or display,0,6,11
Scholarly or scientific > Divination,0,0,1
Scholarly or scientific > Mathematical,0,0,21
Scholarly or scientific > Plan or Drawing,0,4,0
no value,0,6,51
